X,Y,concentration,wind_speed,wind_dir
2.575,2.425,0.92001,0.08154,123.21651
2.225,2.475,9.47819,0.06263,131.71863
2.225,2.425,10.28077,0.07204,137.48662
2.725,2.425,0.85137,0.05925,125.69393
2.325,2.675,3.04997,0.08308,88.38607
2.325,2.325,3.02702,0.09734,116.50451
3.125,2.375,0.89327,0.06177,253.29898
3.275,2.425,0.89997,0.05996,231.01785
3.275,2.675,0.90473,0.01482,204.93983
2.775,2.425,0.85469,0.04551,145.10183
3.125,2.675,0.89639,0.02394,246.70086
2.875,2.375,0.85805,0.05682,106.96484
3.225,2.275,0.86259,0.07085,150.49687
3.225,2.375,0.88603,0.03057,307.52973
2.775,2.475,0.8719,0.03164,150.58306
3.275,2.275,0.88043,0.03867,207.42658
3.525,2.625,0.91218,0.03289,140.81234
3.625,2.325,0.86866,0.04772,127.72965
3.475,2.325,0.87279,0.05026,125.04338
3.675,2.475,0.90041,0.04256,131.91416
3.575,2.675,0.92099,0.02871,131.90861
3.575,2.325,0.8646,0.04961,129.06024
3.725,2.375,0.89194,0.04225,133.37931
3.575,2.525,0.90238,0.05289,139.43983
3.575,2.375,0.87419,0.05225,126.90937
3.375,2.525,0.89654,0.05733,153.42154
4.325,2.625,0.97438,0.01731,218.00851
4.175,2.625,0.96995,0.02548,152.35877
4.275,2.525,0.97231,0.0217,183.40833
4.225,2.275,0.9441,0.01769,172.23629
4.125,2.425,0.94274,0.02036,151.52202
3.975,2.275,0.91963,0.02799,136.85321
4.025,2.425,0.93413,0.023,140.3635
4.075,2.325,0.93081,0.02204,144.00895
3.875,2.525,0.92401,0.03326,135.91363
4.375,2.675,0.97423,0.0245,261.76408
4.525,2.675,0.98361,0.04432,280.33375
4.775,2.525,0.99209,0.05906,281.57439
4.675,2.325,0.98223,0.03666,268.99958
4.525,2.475,0.97779,0.03431,271.25262
4.875,2.275,0.98535,0.04545,283.30549
4.525,2.325,0.97631,0.02964,257.41249
4.775,2.375,0.98701,0.05095,279.38653
4.475,2.625,0.9799,0.03222,273.62957
4.525,2.575,0.97839,0.03884,276.19356
4.925,2.425,0.98338,0.05731,288.39069
5.175,2.475,0.92141,0.03122,359.85318
5.325,2.575,0.83025,0.05031,70.25041
5.425,2.375,0.78449,0.03335,81.48113
5.175,2.625,0.90912,0.03285,8.56182
5.325,2.675,0.83268,0.06901,77.91336
5.125,2.325,0.94512,0.03196,295.41865
5.025,2.625,0.9629,0.06233,301.40516
5.025,2.675,0.95776,0.0655,299.08519
5.275,2.375,0.81411,0.02059,60.37246
5.225,2.475,0.89384,0.00403,39.65983
0.275,3.075,0.81526,0.03547,19.15513
0.325,2.925,0.81359,0.02406,30.51866
0.225,2.875,0.81126,0.01801,54.76559
0.425,2.875,0.81501,0.02288,44.69891
0.425,2.925,0.81576,0.02831,34.3188
0.375,3.025,0.8152,0.03746,17.23542
