X,Y,concentration,v_x,v_y,v_z
3.8715,0.0145,0.00146,-0.02872,0.08052,-0.00042
3.9005,0.0145,0.00145,-0.02922,0.08258,-0.0003
3.9295,0.0145,0.00144,-0.03018,0.08481,-0.00017
3.9585,0.0145,0.00144,-0.03088,0.08668,-9e-05
3.9875,0.0145,0.00143,-0.03151,0.08819,-5e-05
4.0165,0.0145,0.00143,-0.0326,0.08997,2e-05
4.0455,0.0145,0.00142,-0.03382,0.09168,8e-05
4.0745,0.0145,0.00142,-0.03471,0.09287,0.00011
4.1035,0.0145,0.00141,-0.03643,0.09466,0.00018
4.1325,0.0145,0.00141,-0.03824,0.096,0.0003
4.1615,0.0145,0.0014,-0.03963,0.09703,0.00041
4.1905,0.0145,0.00139,-0.04077,0.09783,0.00049
4.2195,0.0145,0.00139,-0.04228,0.09821,0.00061
4.2485,0.0145,0.00138,-0.04399,0.0987,0.00078
4.2775,0.0145,0.00138,-0.04578,0.09874,0.00091
4.3065,0.0145,0.00137,-0.04746,0.09839,0.00101
4.3355,0.0145,0.00136,-0.04889,0.0977,0.00109
4.3645,0.0145,0.00136,-0.05054,0.0959,0.00106
4.3935,0.0145,0.00135,-0.05109,0.09463,0.00087
4.4225,0.0145,0.00135,-0.0506,0.09305,0.00018
4.4515,0.0145,0.00134,-0.05148,0.09021,-3e-05
4.4805,0.0145,0.00134,-0.05091,0.08731,-0.00051
4.5095,0.0145,0.00134,-0.04924,0.08645,-0.00187
4.5385,0.0145,0.00133,-0.04647,0.08665,-0.00399
4.5675,0.0145,0.00133,-0.04289,0.08527,-0.00505
4.5965,0.0145,0.00132,-0.03794,0.08591,-0.00684
4.6255,0.0145,0.00132,-0.03133,0.08808,-0.00883
4.6545,0.0145,0.00132,-0.02539,0.09308,-0.01174
4.6835,0.0145,0.00131,-0.01737,0.10115,-0.01335
4.7125,0.0145,0.00131,-0.00762,0.10908,-0.01223
4.7415,0.0145,0.0013,-0.00076,0.12423,-0.00666
4.7705,0.0145,4e-05,0.0,0.0,0.0
0.0145,0.0435,0.00182,0.01424,0.14313,-0.03531
0.0435,0.0435,0.00185,0.02804,0.14586,-0.02912
0.0725,0.0435,0.00185,0.03425,0.14623,-0.02033
0.1015,0.0435,0.00186,0.03894,0.14835,-0.01338
0.1305,0.0435,0.00186,0.03982,0.1527,-0.00712
0.1595,0.0435,0.00187,0.04027,0.15484,-0.00192
0.1885,0.0435,0.00187,0.03741,0.15688,0.0024
0.2175,0.0435,0.00188,0.03242,0.15866,0.00665
0.2465,0.0435,0.00189,0.02545,0.1611,0.01135
0.2755,0.0435,0.0019,0.01987,0.16249,0.01494
0.3045,0.0435,0.00192,0.01106,0.16257,0.01664
0.3335,0.0435,0.00193,0.00633,0.16114,0.01783
0.3625,0.0435,0.00196,0.00279,0.15341,0.01523
0.3915,0.0435,0.00199,-0.00436,0.14427,0.01273
0.4205,0.0435,0.00202,-0.00914,0.13741,0.01003
0.4495,0.0435,0.00203,-0.01275,0.13185,0.00687
0.4785,0.0435,0.00205,-0.01621,0.12707,0.00423
0.5075,0.0435,0.00206,-0.01836,0.12512,0.00326
0.5365,0.0435,0.00207,-0.02032,0.12333,0.00252
0.5655,0.0435,0.00208,-0.02172,0.12202,0.00234
0.5945,0.0435,0.00209,-0.02292,0.12053,0.00193
0.6235,0.0435,0.00211,-0.02385,0.119,0.00173
0.6525,0.0435,0.00212,-0.02437,0.11726,0.00138
0.6815,0.0435,0.00213,-0.02475,0.11534,0.0011
0.7105,0.0435,0.00215,-0.02471,0.11317,0.00062
0.7395,0.0435,0.00217,-0.02418,0.11086,-0.00019
0.7685,0.0435,0.00218,-0.02333,0.10827,-0.00094
0.7975,0.0435,0.0022,-0.02199,0.10559,-0.00215
0.8265,0.0435,0.00222,-0.01923,0.10281,-0.00402
0.8555,0.0435,0.00224,-0.01601,0.10024,-0.00677
0.8845,0.0435,0.00228,-0.0099,0.09967,-0.01346
0.9135,0.0435,0.00231,-0.00313,0.09752,-0.01756
0.9425,0.0435,0.00235,0.00853,0.09781,-0.02374
0.9715,0.0435,0.00241,0.02051,0.10218,-0.03147
1.0005,0.0435,0.00245,0.03538,0.10421,-0.03353
1.0295,0.0435,0.00249,0.04975,0.10484,-0.03277
1.0585,0.0435,0.00254,0.05801,0.10142,-0.02755
1.0875,0.0435,0.00257,0.0691,0.09968,-0.02426
1.1165,0.0435,0.0026,0.07713,0.09586,-0.0208
1.1455,0.0435,0.00262,0.08172,0.08882,-0.01664
1.1745,0.0435,0.00264,0.0875,0.08408,-0.01416
1.2035,0.0435,0.00266,0.09146,0.07796,-0.01165
1.2325,0.0435,0.00267,0.09411,0.07165,-0.00934
1.2615,0.0435,0.00268,0.09654,0.06612,-0.00766
